Entity Name,Entity ID,Entity Type,County Name,City,State,Zip,Estimated Population,Class Data,Fiscal Year End,Paper Report Due Date,Electronic Report Due Date
Camarillo,1186,CIT,Ventura,Camarillo,CA,93010,70739,General Law,630,131,131
Campbell,1187,CIT,Santa Clara,Campbell,CA,95008,43086,General Law,630,131,131
Canyon Lake,1188,CIT,Riverside,Canyon Lake,CA,92587,11147,General Law,630,131,131
Capitola,1189,CIT,Santa Cruz,Capitola,CA,95010,10112,General Law,630,131,131
Carlsbad,1190,CIT,San Diego,Carlsbad,CA,92008-7314,115680,Chartered,630,131,131
Carmel-By-The-Sea,1191,CIT,Monterey,Carmel-By-The-Sea,CA,93921,3095,General Law,630,131,131
Carpinteria,1192,CIT,Santa Barbara,Carpinteria,CA,93013-2698,13267,General Law,630,131,131
Carson,1193,CIT,Los Angeles,Carson,CA,90745,92912,Chartered,630,131,131
Cathedral City,1194,CIT,Riverside,Cathedral City,CA,92234-7031,51898,Chartered,630,131,131
Ceres,1195,CIT,Stanislaus,Ceres,CA,95307-3292,48762,General Law,630,131,131
Cerritos,1196,CIT,Los Angeles,Cerritos,CA,90703,49163,Chartered,630,131,131
Chico,1197,CIT,Butte,Chico,CA,95927,102359,Chartered,630,131,131
Chino,1198,CIT,San Bernardino,Chino,CA,91710,89824,General Law,630,131,131
Chino Hills,1199,CIT,San Bernardino,Chino Hills,CA,91709,78437,General Law,630,131,131
Chowchilla,1200,CIT,Madera,Chowchilla,CA,93610,18412,General Law,630,131,131
Chula Vista,1201,CIT,San Diego,Chula Vista,CA,91910,276922,Chartered,630,131,131
Citrus Heights,1202,CIT,Sacramento,Citrus Heights,CA,95621,87245,General Law,630,131,131
Claremont,1203,CIT,Los Angeles,Claremont,CA,91711,37364,General Law,630,131,131
Clayton,1204,CIT,Contra Costa,Clayton,CA,94517,10964,General Law,630,131,131
Clearlake,1205,CIT,Lake,Clearlake,CA,95422,16671,General Law,630,131,131
Cloverdale,1206,CIT,Sonoma,Cloverdale,CA,95425,9029,General Law,630,131,131
Clovis,1207,CIT,Fresno,Clovis,CA,93612,121667,General Law,630,131,131
Coachella,1208,CIT,Riverside,Coachella,CA,92236,42178,General Law,630,131,131
Coalinga,1209,CIT,Fresno,Coalinga,CA,93210,17520,General Law,630,131,131
Colfax,1210,CIT,Placer,Colfax,CA,95713,2016,General Law,630,131,131
Colma,1211,CIT,San Mateo,Colma,CA,94014,1391,General Law,630,131,131
Colton,1212,CIT,San Bernardino,Colton,CA,92324,53853,General Law,630,131,131
Colusa,1213,CIT,Colusa,Colusa,CA,95932,6356,General Law,630,131,131
Commerce,1214,CIT,Los Angeles,Commerce,CA,90040,12273,General Law,630,131,131
Compton,1215,CIT,Los Angeles,Compton,CA,90220,95261,Chartered,630,131,131
Concord,1216,CIT,Contra Costa,Concord,CA,94519,124755,General Law,630,131,131
Corcoran,1217,CIT,Kings,Corcoran,CA,93212,20807,General Law,630,131,131
Corning,1218,CIT,Tehama,Corning,CA,96021,8157,General Law,630,131,131
Corona,1219,CIT,Riverside,Corona,CA,92882-3238,156901,General Law,630,131,131
Coronado,1220,CIT,San Diego,Coronado,CA,92118,22611,General Law,630,131,131
Corte Madera,1221,CIT,Marin,Corte Madera,CA,94925,10147,General Law,630,131,131
Costa Mesa,1222,CIT,Orange,Costa Mesa,CA,92626,112183,General Law,630,131,131
Cotati,1223,CIT,Sonoma,Cotati,CA,94931,7512,General Law,630,131,131
Covina,1224,CIT,Los Angeles,Covina,CA,91723-2199,50933,General Law,630,131,131
Crescent City,1225,CIT,Del Norte,Crescent City,CA,95531,6320,General Law,630,131,131
Cudahy,1226,CIT,Los Angeles,Cudahy,CA,90201,22526,General Law,630,131,131
Culver City,1227,CIT,Los Angeles,Culver City,CA,90232-0507,40330,Chartered,630,131,131
Cupertino,1228,CIT,Santa Clara,Cupertino,CA,95014,59884,General Law,630,131,131
Cypress,1229,CIT,Orange,Cypress,CA,90630,50029,Chartered,630,131,131
Daly City,1230,CIT,San Mateo,Daly City,CA,94015,103930,General Law,630,131,131
Dana Point,1231,CIT,Orange,Dana Point,CA,92629,33053,General Law,630,131,131
Danville,1232,CIT,Contra Costa,Danville,CA,94526,43373,General Law,630,131,131
Davis,1233,CIT,Yolo,Davis,CA,95616,66687,General Law,630,131,131
Del Mar,1234,CIT,San Diego,Del Mar,CA,92014,3957,Chartered,630,131,131
Del Rey Oaks,1235,CIT,Monterey,Del Rey Oaks,CA,93940,1558,General Law,630,131,131
Delano,1236,CIT,Kern,Delano,CA,93216,50045,General Law,630,131,131
Desert Hot Springs,1237,CIT,Riverside,Desert Hot Springs,CA,92240,32546,Chartered,630,131,131
Diamond Bar,1238,CIT,Los Angeles,Diamond Bar,CA,91765,54782,General Law,630,131,131
Dinuba,1239,CIT,Tulare,Dinuba,CA,93618,24872,Chartered,630,131,131
Dixon,1240,CIT,Solano,Dixon,CA,95620-9990,19094,General Law,630,131,131
Dorris,1241,CIT,Siskiyou,Dorris,CA,96023,859,General Law,630,131,131
Dos Palos,1242,CIT,Merced,Dos Palos,CA,93620,5835,General Law,630,131,131
Downey,1243,CIT,Los Angeles,Downey,CA,90241,113525,Chartered,630,131,131
Duarte,1244,CIT,Los Angeles,Duarte,CA,91010,21473,General Law,630,131,131
Dublin,1245,CIT,Alameda,Dublin,CA,94568,73209,General Law,630,131,131
Dunsmuir,1246,CIT,Siskiyou,Dunsmuir,CA,96025,1705,General Law,630,131,131
East Palo Alto,1247,CIT,San Mateo,East Palo Alto,CA,94303,29423,General Law,630,131,131
Eastvale,10783,CIT,Riverside,Eastvale,CA,91752,70444,General Law,630,131,131
El Cajon,1248,CIT,San Diego,El Cajon,CA,92020,106447,Chartered,630,131,131
El Centro,1249,CIT,Imperial,El Centro,CA,92243,44871,Chartered,630,131,131
El Cerrito,1250,CIT,Contra Costa,El Cerrito,CA,94530,25671,Chartered,630,131,131
El Monte,1251,CIT,Los Angeles,El Monte,CA,91731,108728,General Law,630,131,131
El Paso De Robles,1252,CIT,San Luis Obispo,El Paso De Robles,CA,93447,31659,General Law,630,131,131
El Segundo,1253,CIT,Los Angeles,El Segundo,CA,90245,17244,General Law,630,131,502
Elk Grove,1254,CIT,Sacramento,Elk Grove,CA,95758,176769,General Law,630,131,131
Emeryville,1255,CIT,Alameda,Emeryville,CA,94608-3517,12617,Chartered,630,131,131
Encinitas,1256,CIT,San Diego,Encinitas,CA,92024-3633,61724,General Law,630,131,131
Escalon,1257,CIT,San Joaquin,Escalon,CA,95320,7439,General Law,630,131,131
Escondido,1258,CIT,San Diego,Escondido,CA,92025,151389,General Law,630,131,131
Etna,1259,CIT,Siskiyou,Etna,CA,96027,684,General Law,630,131,131
Eureka,1260,CIT,Humboldt,Eureka,CA,95501,27134,Chartered,630,131,131
Exeter,1261,CIT,Tulare,Exeter,CA,93221,10305,Chartered,630,131,131
Fairfax,1262,CIT,Marin,Fairfax,CA,94930,7496,General Law,630,131,131
Fairfield,1263,CIT,Solano,Fairfield,CA,94533-4883,120421,General Law,630,131,131
Farmersville,1264,CIT,Tulare,Farmersville,CA,93223,10308,General Law,630,131,131
Ferndale,1265,CIT,Humboldt,Ferndale,CA,95536,1376,General Law,630,131,131
Fillmore,1266,CIT,Ventura,Fillmore,CA,93015,16681,General Law,630,131,131
Firebaugh,1267,CIT,Fresno,Firebaugh,CA,93622,8164,General Law,630,131,131
Folsom,1268,CIT,Sacramento,Folsom,CA,95630,83075,Chartered,630,131,131
Fontana,1269,CIT,San Bernardino,Fontana,CA,92335,209889,General Law,630,131,131
